component1,component2,component3,label
-1.723747,-0.17597598,-0.3890455,VAST
-1.2295095,-2.0646653,-0.08298374,VAST
-1.1195209,0.13146524,-0.4158157,VAST
-0.4882022,-2.0406075,0.2517515,VAST
0.09133744,-0.10200427,-0.2188588,VAST
0.3399122,1.1389744,-0.04233197,VAST
-1.4083227,-1.7662036,-0.34544846,VAST
-1.3584933,-0.2464262,-0.30159593,VAST
-0.77708465,0.5957388,-0.17193358,InfoVis
-1.7952436,-1.1421694,-0.5348384,InfoVis
-0.38823822,0.8872753,-0.045710802,InfoVis
-0.66774905,0.19835834,-0.047475923,InfoVis
-1.0315124,1.4507024,0.13095127,InfoVis
-0.6748356,1.9023514,0.088853724,InfoVis
-0.2772231,2.5589375,0.0010228453,InfoVis
-1.5226806,1.1073883,-0.18913473,InfoVis
-1.0320877,1.4240025,-0.299074,InfoVis
-0.49878913,1.8564545,0.250756,InfoVis
-0.71317595,2.4454076,0.3443187,InfoVis
-0.48928246,0.20410585,-0.11207807,InfoVis
-1.1496094,1.2746372,0.15446788,InfoVis
-0.6989929,1.5219187,0.04225233,InfoVis
-0.8730599,0.93358594,-0.1772056,InfoVis
-0.36013672,-0.1399596,0.11510673,InfoVis
-1.2411089,1.0567769,0.04077247,InfoVis
-1.0627376,1.3811294,0.21097381,InfoVis
-0.32345656,2.2551365,0.0153691815,InfoVis
-1.5375046,-0.89267355,-0.20843282,InfoVis
-1.0134063,0.48307645,0.18808103,InfoVis
-0.5281336,1.7956028,-0.26070905,InfoVis
-0.10336868,4.828228,0.65833956,InfoVis
-0.42965373,3.0829787,0.41016322,InfoVis
-0.52988607,-0.24096332,0.095462866,InfoVis
-1.3179414,0.41997477,-0.22488771,InfoVis
-0.07355084,1.4338855,0.05342841,InfoVis
-0.8282775,2.2530906,0.16925061,InfoVis
-0.927788,0.5221622,-0.26070806,InfoVis
-0.009914577,3.1820078,0.3337388,InfoVis
-1.089463,2.1483037,0.028277408,InfoVis
-0.114615984,0.08372377,0.04428048,InfoVis
-0.5241443,2.2981725,-0.22942345,InfoVis
-0.8634989,0.23135358,-0.31735754,InfoVis
-1.9905125,-1.8716238,-0.91031873,VAST
0.64538294,-3.9468458,2.1871293,VAST
-1.2317668,-2.613909,0.4258294,VAST
-1.528459,-2.4716256,-0.030359237,VAST
-1.5652504,-1.7516165,-0.39757168,VAST
-1.0668486,-2.42871,0.16171238,VAST
-1.4731352,-2.3409336,0.10041406,VAST
-1.3051498,-2.0582685,0.33055824,VAST
-0.81352043,-1.025798,-0.27660236,VAST
-0.78021735,-1.0359635,0.2572284,VAST
-1.2885144,-1.7567792,-0.18812673,VAST
-1.3728191,-2.1576643,0.25037858,VAST
-1.5765378,-1.0985988,-0.55605584,VAST
-1.3964746,-1.6296586,-0.18576844,VAST
-1.3990784,-0.9734834,-0.18940769,VAST
-0.56079876,-1.6808118,0.686864,VAST
-1.6399056,-1.4066193,-0.33830696,VAST
-1.5030664,-1.8914499,-0.42955834,VAST
-1.6814957,-0.2840776,-0.48036426,VAST
-1.526393,-1.8472182,-0.14088191,VAST
-1.3673724,-2.2680085,-0.20274366,VAST
-1.0529282,-0.8853213,-0.22240393,VAST
-1.407205,-1.771462,-0.046142753,VAST
-0.82115626,-1.3309026,-0.08307402,VAST
-0.98256016,-2.0412183,0.06237088,VAST
0.2873234,2.49008,0.07810735,InfoVis
-0.5196045,-0.37440977,-0.058792602,InfoVis
-0.22198382,0.47823548,-0.090483375,InfoVis
0.8091785,2.3210752,0.0060202507,InfoVis
-1.3519382,-0.31432742,-0.33417118,InfoVis
-0.44247523,1.7524134,0.02608005,InfoVis
-0.35608745,2.593491,0.33996487,InfoVis
-1.1062914,-0.06284807,-0.089257374,InfoVis
-1.1170877,-1.4569913,0.44014564,InfoVis
-1.6094767,-1.1541599,-0.20170657,InfoVis
-1.1371644,-0.36080995,0.13934688,InfoVis
-0.8445702,2.0357156,0.29670888,InfoVis
-1.0026524,3.5956583,0.8896894,InfoVis
-1.0805043,1.7310257,-0.009092486,InfoVis
-0.963175,1.0859698,-0.3782517,InfoVis
-1.4850391,-0.10021166,-0.13153464,InfoVis
-0.58648485,1.3318102,-0.2698816,InfoVis
0.49841475,3.1626325,0.04115332,InfoVis
0.5367889,1.0699599,-0.021344215,InfoVis
-0.8628482,2.714852,0.22637853,InfoVis
-0.88974625,1.163154,0.11069459,InfoVis
-0.16708647,1.21755,-0.005595957,InfoVis
-0.52967227,2.102163,0.3222652,InfoVis
-0.6279541,1.676001,0.20069242,InfoVis
-1.1517634,0.58783907,-0.12657982,InfoVis
0.5202396,1.6522717,-0.15042493,InfoVis
-0.28342992,1.7512399,0.42142916,InfoVis
-1.1921246,-0.43060243,-0.13984613,InfoVis
-1.2544869,1.9529964,-0.031840283,InfoVis
-0.9828605,0.12985098,0.16194113,InfoVis
-0.024941748,2.2307138,-0.0029208187,InfoVis
-1.0981863,1.3582313,0.006076002,InfoVis
-0.320131,3.6707215,0.3462325,InfoVis
-1.1108812,1.188835,0.4359612,InfoVis
-0.6120818,0.686902,0.19482614,InfoVis
-0.90832573,2.0431488,0.13563845,InfoVis
1.9619787,1.8712023,-0.030929377,InfoVis
-0.6004141,0.020107787,-0.18401125,InfoVis
-1.8514235,-0.986405,-0.3474787,InfoVis
-1.2887299,1.4157575,-0.18710873,InfoVis
-1.1282687,1.0307444,-0.09579918,InfoVis
-0.76959705,1.9116307,0.055682346,InfoVis
-0.9152673,-0.77423704,-0.013957459,InfoVis
-0.9830869,1.3498743,0.08138912,InfoVis
-1.3850833,-0.63501006,0.02964595,VAST
-1.3847914,-2.1369133,0.22920863,VAST
-1.3066986,-0.2206402,-0.38936484,VAST
-1.563014,-1.2309505,-0.39549696,VAST
-1.4699938,-0.7847143,-0.5643903,VAST
-1.5319929,-1.5629585,-0.1349529,VAST
-1.3191345,-1.5832657,0.41691208,VAST
-0.77114344,-2.1480353,0.33154732,VAST
-0.91993886,-1.4344125,-0.079086885,VAST
-1.0142801,-1.9552627,0.26616773,VAST
-1.6158278,-2.0055182,-0.2927863,VAST
-0.3063449,-2.7652512,0.506078,VAST
-1.2517669,-1.804123,0.009200398,VAST
-1.1420262,0.47525236,-0.37152383,VAST
-1.4113665,-2.1438103,0.10833527,VAST
2.9077058,0.93465525,0.022777291,SciVis
5.1875153,-2.5424109,-0.04895853,SciVis
5.43238,2.9716136,0.40557274,SciVis
-1.0698483,1.3407782,-0.1570936,InfoVis
-0.46583253,-1.9534696,0.9936121,SciVis
-0.9419986,-1.7042867,0.61953527,VAST
0.65097713,2.79125,-0.08410188,InfoVis
-0.113966934,2.6693442,0.11641251,InfoVis
5.841792,1.7935885,-0.41229117,SciVis
-1.3553739,-2.0849762,0.30765638,VAST
0.36616164,2.6563709,0.15444027,InfoVis
-0.27291766,2.5722358,0.18705057,InfoVis
8.683893,-0.3783754,-0.47811,SciVis
-0.5856213,2.3870585,0.32381615,InfoVis
4.470348,-1.0564435,0.008402514,SciVis
4.8959455,-1.7320555,-0.6547894,SciVis
4.0115004,-0.27082673,-0.35697544,SciVis
-1.0866406,0.85911196,0.14838585,InfoVis
-0.63777125,2.2848566,0.061885063,InfoVis
7.9618673,-0.8763102,-0.11161792,SciVis
-0.7483581,-0.15946229,-0.19844387,InfoVis
-1.2083694,2.422049,-0.012372075,InfoVis
6.125107,-0.11057107,0.04896986,SciVis
9.850338,-0.6090145,-0.56142944,SciVis
9.485095,-2.6093569,0.03564101,SciVis
-0.9891432,1.1798853,0.008068087,InfoVis
-1.1046119,1.6666255,0.67360544,InfoVis
-0.68836695,0.44398957,-0.23216853,InfoVis
-0.9865498,0.7336152,-0.21320891,InfoVis
